Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
26,"P Rodríguez De Gil, AP Bellara…","How do propensity score methods measure up in the presence of measurement error? A Monte Carlo study",2015,"Multivariate …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/00273171.2015.1022643","https://scholar.google.com/scholar?cites=11079451706798064840&as_sdt=2005&sciodt=2007&hl=en",1,"2026-05-28 08:23:11","","10.1080/00273171.2015.1022643","",,,,,,26,2.36,9,3,11,"… concomitant reduction in confidence interval coverage across all … Thus, the focus of the present simulation study was to … zero balance when small sample size conditions were excluded, …","","https://scholar.google.com/scholar?q=related:yETLOaAewpkJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=1900&as_yhi=2015"
0,"B Zou","Robust and efficient statistical inference for clustered observational data in comparative effectiveness research",2013,"","search.proquest.com","https://search.proquest.com/openview/f63ec252227f7ca2c73e6a9f184c55c8/1?pq-origsite=gscholar&cbl=18750","",2,"2026-05-28 08:23:11","","","",,,,,,0,0.00,0,1,13,"… RCTs due to short time period, small sample size, and/or limited … Propensity score matching could also match two dissimilar … in the 95% confidence interval (CI) coverage which is always …","https://cdr.lib.unc.edu/downloads/zk51vh95r","https://scholar.google.com/scholar?q=related:mREyRYMmQXYJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=1900&as_yhi=2015"
0,"R Chu","STATISTICAL AND METHODOLOGICAL ISSUES ON COVARIATE ADJUSTMENT IN CLINICAL TRIALS",2013,"","macsphere.mcmaster.ca","https://macsphere.mcmaster.ca/items/4d48872e-5971-4f4d-9274-63fc61dd35f4","",3,"2026-05-28 08:23:11","","","",,,,,,0,0.00,0,1,13,"… of tuberculosis (TB) in propensity score matched pairs with imputed … from multicentre RCTs, using the Monte Carlo simulation … faulty increase of coverage of the confidence interval and …","https://macsphere.mcmaster.ca/bitstreams/ad9417ef-029a-40c8-bf66-d342b782fd7c/download","https://scholar.google.com/scholar?q=related:oGF0K-QkGPMJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=1900&as_yhi=2015"
7,"AP Bellara","Effectiveness of propensity score methods in a multilevel framework: A Monte Carlo study",2013,"","search.proquest.com","https://search.proquest.com/openview/c9a58b5a467e617507557caf5d102958/1?pq-origsite=gscholar&cbl=18750","https://scholar.google.com/scholar?cites=17699338875389220261&as_sdt=2005&sciodt=2007&hl=en",4,"2026-05-28 08:23:11","BOOK","","",,,,,,7,0.54,7,1,13,"… This study incorporated Monte Carlo simulation methods to … bias, standard error, 95% confidence interval coverage and … a higher MSE in the small sample size and a comparable MSE …","https://digitalcommons.usf.edu/cgi/viewcontent.cgi?article=5832&context=etd","https://scholar.google.com/scholar?q=related:pRXWmu6uoPUJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=1900&as_yhi=2015"
2,"S Stampf","Propensity score methods in observational studies-estimating the marginal odds ratio",2010,"","freidok.uni-freiburg.de","https://www.freidok.uni-freiburg.de/dnb/download/7859","https://scholar.google.com/scholar?cites=13424298729600793714&as_sdt=2005&sciodt=2007&hl=en",5,"2026-05-28 08:23:11","BOOK","","",,,,,,2,0.13,2,1,16,"… of inverse probability weighting by the propensity score is … compared to bias induced by a small sample size. The use of … confidence interval) for the stratified propensity score based …","https://www.freidok.uni-freiburg.de/dnb/download/7859","https://scholar.google.com/scholar?q=related:cjyV0JGwTLoJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=1900&as_yhi=2015"
0,"JD Kromrey, PR de Gil, ES Kim, A Bellara, R Lanehart…","Covariate Measurement Error in Propensity Score Analysis: An Empirical Investigation of Impacts on Treatment Effect Estimates",,"researchgate.net","","https://www.researchgate.net/profile/Rheta-Lanehart/publication/276278045_Covariate_Measurement_Error_in_Propensity_Score_Analysis_An_Empirical_Investigation_of_Impacts_on_Treatment_Effect_Estimates/links/5555010208aeaaff3bf457e0/Covariate-Measurement-Error-in-Propensity-Score-Analysis-An-Empirical-Investigation-of-Impacts-on-Treatment-Effect-Estimates.pdf","",6,"2026-05-28 08:23:11","PDF","","",,,,,,0,0.00,0,6,,"… Monte Carlo methods were used to investigate the impact of … balance when small sample size conditions were excluded. … Type I error control and confidence interval coverage for the …","https://www.researchgate.net/profile/Rheta-Lanehart/publication/276278045_Covariate_Measurement_Error_in_Propensity_Score_Analysis_An_Empirical_Investigation_of_Impacts_on_Treatment_Effect_Estimates/links/5555010208aeaaff3bf457e0/Covariate-Measurement-Error-in-Propensity-Score-Analysis-An-Empirical-Investigation-of-Impacts-on-Treatment-Effect-Estimates.pdf","https://scholar.google.com/scholar?q=related:lROVI2uTXA8J:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=1900&as_yhi=2015"
5,"T Abe, M Iwasaki","Evaluation of statistical methods for analysis of small-sample longitudinal clinical trials with dropouts",2007,"Journal of the Japanese Society of Computational …","jstage.jst.go.jp","https://www.jstage.jst.go.jp/article/jjscs1988/20/1/20_1_1/_article/-char/ja/","https://scholar.google.com/scholar?cites=666580253938029661&as_sdt=2005&sciodt=2007&hl=en",7,"2026-05-28 08:23:11","","","",,,,,,5,0.26,3,2,19,"… matching, propensity score, and Markov Chain Monte Carlo, … of times in which 95% confidence interval contains the true … clinical trials with relatively small sample size (ri =100) . Four …","https://www.jstage.jst.go.jp/article/jjscs1988/20/1/20_1_1/_pdf","https://scholar.google.com/scholar?q=related:XRREkjUrQAkJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=1900&as_yhi=2015"
74,"C Wang, F Dominici, G Parmigiani, CM Zigler","Accounting for uncertainty in confounder and effect modifier selection when estimating average causal effects in generalized linear models",2015,"Biometrics","academic.oup.com","https://academic.oup.com/biometrics/article-abstract/71/3/654/7249300","https://scholar.google.com/scholar?cites=8658840163770362792&as_sdt=2005&sciodt=2007&hl=en",8,"2026-05-28 08:23:11","","","",,,,,,74,6.73,19,4,11,"… performs well in small sample size situations with 100–150 … the propensity score, but rather uses the propensity score … CP is the coverage probability of the 95% confidence interval or …","https://pmc.ncbi.nlm.nih.gov/articles/PMC4575246/pdf/nihms680635.pdf","https://scholar.google.com/scholar?q=related:qOtqoEBhKngJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=1900&as_yhi=2015"
5412,"CJM Maas, JJ Hox","Sufficient sample sizes for multilevel modeling",2005,"Methodology","econtent.hogrefe.com","https://econtent.hogrefe.com/doi/abs/10.1027/1614-2241.1.3.86","https://scholar.google.com/scholar?cites=9839430274635521576&as_sdt=2005&sciodt=2007&hl=en",9,"2026-05-28 08:23:11","","10.1027/1614-2241.1.3.86","",,,,,,5412,257.71,2706,2,21,"… The results show that only a small sample size at level two (meaning a … simulation research that addresses the accuracy of the significance test or the coverage of the confidence interval …","https://dspace.library.uu.nl/bitstream/handle/1874/23635/hox_05_sufficient?sequence=1","https://scholar.google.com/scholar?q=related:KN7fB7StjIgJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=1900&as_yhi=2015"
7,"FJ Thoemmes","The use of propensity scores with clustered data: A simulation study",2009,"","search.proquest.com","https://search.proquest.com/openview/f785a6918533101865e65f380c9fcae2/1?pq-origsite=gscholar&cbl=18750","https://scholar.google.com/scholar?cites=8396756182839048600&as_sdt=2005&sciodt=2007&hl=en",10,"2026-05-28 08:23:11","BOOK","","",,,,,,7,0.41,7,1,17,"… on estimation strategies for the propensity score in multi-site … terms of bias reduction, however the performance across models … exhibited coverage of near 95% in the small sample size …","","https://scholar.google.com/scholar?q=related:mLmvp0JFh3QJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=1900&as_yhi=2015"
