Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
50,"D Hajage, F Tubach, PG Steg, DL Bhatt…","On the use of propensity scores in case of rare exposure",2016,"BMC medical research …","Springer","https://link.springer.com/article/10.1186/s12874-016-0135-1","https://scholar.google.com/scholar?cites=118695439900431179&as_sdt=2005&sciodt=2007&hl=en",1,"2026-05-28 08:24:23","","10.1186/s12874-016-0135-1","",,,,,,50,5.00,10,5,10,"… the 95 % confidence interval of γ estimated from the model. … specifically the context of small sample size (ranging from … through propensity score analysis can be severely biased, in …","https://link.springer.com/content/pdf/10.1186/s12874-016-0135-1.pdf","https://scholar.google.com/scholar?q=related:S1O5q9-wpQEJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2019"
2,"Y Abdia","Propensity score based methods for estimating the treatment effects based on observational studies.",2016,"","ir.library.louisville.edu","https://ir.library.louisville.edu/etd/2504/","https://scholar.google.com/scholar?cites=9911226182435508203&as_sdt=2005&sciodt=2007&hl=en",2,"2026-05-28 08:24:23","","","",,,,,,2,0.20,2,1,10,"… , inverse probability weighting (IPW), and … small sample size (n=100), the number of strata was reduced to four when ATT and ATE were estimated using the stratification. The simulation …","https://ir.library.louisville.edu/cgi/viewcontent.cgi?article=3606&context=etd","https://scholar.google.com/scholar?q=related:64-edLO_i4kJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2019"
211,"Q Zhao, DS Small…","Sensitivity analysis for inverse probability weighting estimators via the percentile bootstrap",2019,"Journal of the Royal …","academic.oup.com","https://academic.oup.com/jrsssb/article-abstract/81/4/735/7048357","https://scholar.google.com/scholar?cites=3470797698988218328&as_sdt=2005&sciodt=2007&hl=en",3,"2026-05-28 08:24:23","","","",,,,,,211,30.14,70,3,7,"… propensity score matching (Rosenbaum and Rubin, 1983a), … The confidence interval that our procedure constructs has … Similarly, we can define the shifted propensity score and the …","https://arxiv.org/pdf/1711.11286","https://scholar.google.com/scholar?q=related:2JdvPx7AKjAJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2019"
0,"M Wu","Causal inference in observational studies with clustered data",2016,"","scholarsarchive.library.albany.edu","https://scholarsarchive.library.albany.edu/cgi/viewcontent.cgi?article=2752&context=legacy-etd","",4,"2026-05-28 08:24:23","PDF","","",,,,,,0,0.00,0,1,10,"… We are particularly interested in propensity score method due to … To avoid negative impact due to small sample size, we set a … 95% confidence interval (-14.9,-33.3) for the ACE estimate. …","https://scholarsarchive.library.albany.edu/cgi/viewcontent.cgi?article=2752&context=legacy-etd","https://scholar.google.com/scholar?q=related:592jRco8sSMJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2019"
942,"F Li, LE Thomas, F Li","Addressing extreme propensity scores via the overlap weights",2019,"American journal of epidemiology","academic.oup.com","https://academic.oup.com/aje/article-abstract/188/1/250/5090958","https://scholar.google.com/scholar?cites=7611361897640572235&as_sdt=2005&sciodt=2007&hl=en",5,"2026-05-28 08:24:23","","","",,,,,,942,134.57,314,3,7,"… the units in the tails of the propensity score distribution. Here we use simulations … small sample size of 500, both our asymptotic confidence interval and the bootstrap confidence interval …","https://academic.oup.com/aje/article-pdf/188/1/250/27238730/kwy201.pdf","https://scholar.google.com/scholar?q=related:SzXPtVH9oGkJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2019"
54,"R Pirracchio, M Carone","… Super Learner: A robust adaptation of the Super Learner to improve estimation of the average treatment effect in the treated based on propensity score matching",2018,"Statistical Methods in Medical …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0962280216682055","https://scholar.google.com/scholar?cites=8617125586187585125&as_sdt=2005&sciodt=2007&hl=en",6,"2026-05-28 08:24:23","","10.1177/0962280216682055","",,,,,,54,6.75,27,2,8,"… “Small sample size” scenario: similar to scenario B but using a smaller sample size of n = … a Monte Carlo approach. We refer to the latter interval as the empirical confidence interval—of …","","https://scholar.google.com/scholar?q=related:ZQakrRAulncJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2019"
25,"ER John, KR Abrams, CE Brightling…","Assessing causal treatment effect estimation when using large observational datasets",2019,"BMC medical research …","Springer","https://link.springer.com/article/10.1186/s12874-019-0858-x","https://scholar.google.com/scholar?cites=4986195929358732663&as_sdt=2005&sciodt=2007&hl=en",7,"2026-05-28 08:24:23","","10.1186/s12874-019-0858-x","",,,,,,25,3.57,6,4,7,"… In the simulation study, propensity score methods produced … that had a 95% confidence interval containing the true effect … This may have been partly due to the very small sample size …","https://link.springer.com/content/pdf/10.1186/s12874-019-0858-x.pdf","https://scholar.google.com/scholar?q=related:dw3tnceGMkUJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2019"
17,"L Lin, Y Zhu, L Chen","Causal inference for multi-level treatments with machine-learned propensity scores",2019,"Health Services and Outcomes Research …","Springer","https://link.springer.com/article/10.1007/s10742-018-0187-2","https://scholar.google.com/scholar?cites=5743226048748808468&as_sdt=2005&sciodt=2007&hl=en",8,"2026-05-28 08:24:23","","10.1007/s10742-018-0187-2","",,,,,,17,2.43,6,3,7,"… framework and several propensity score estimation methods. … is the 95% confidence interval coverage. We calculate 95% … methods generally perform well with a small sample size. …","","https://scholar.google.com/scholar?q=related:FGlxlKkJtE8J:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2019"
0,"M Carone, R Pirracchio","… Super Learner: A robust adaptation of theSuper Learnerto improve estimation of the average treatment effect in the treated based on propensity score matching",2018,"Statistical Methods in Medical Research","ovid.com","https://www.ovid.com/journals/smmr/abstract/10.1177/0962280216682055~the-balance-super-learner-a-robust-adaptation-of-thesuper","",9,"2026-05-28 08:24:23","","10.1177/0962280216682055~the-balance-super-learner-a-robust-adaptation-of-thesuper","",,,,,,0,0.00,0,2,8,"… a Monte Carlo approach. We refer to the latter interval as the empirical confidence interval—of … Our simulation results highlight that the decreased bias was achieved at the expense of …","","https://scholar.google.com/scholar?q=related:7Hec6ir6_L4J:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2019"
0,"Y Tang","Exploring the Joint Use of Propensity and Prognostic Scores for Bias Reduction in the Context of Small Educational Program Evaluations",2018,"","search.proquest.com","https://search.proquest.com/openview/c9edee8c56869316c7465e3b593e43da/1?pq-origsite=gscholar&cbl=18750","",10,"2026-05-28 08:24:23","","","",,,,,,0,0.00,0,1,8,"… , outcome measures, and propensity score estimation methods. … error (RMSE), and 95% confidence interval coverage rates. … with a small sample size. Many educational evaluations use …","https://d-scholarship.pitt.edu/downloads/be350816-8e7e-4dc3-9aa9-6b6849656288","https://scholar.google.com/scholar?q=related:Yd75sfC-D40J:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2016&as_yhi=2019"
