Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
78,"H Raad, V Cornelius, S Chan, E Williamson…","An evaluation of inverse probability weighting using the propensity score for baseline covariate adjustment in smaller population randomised controlled trials with a …",2020,"BMC Medical Research …","Springer","https://link.springer.com/article/10.1186/s12874-020-00947-7","https://scholar.google.com/scholar?cites=15175975520170491588&as_sdt=2005&sciodt=2007&hl=en",1,"2026-05-28 08:25:25","","10.1186/s12874-020-00947-7","",,,,,,78,13.00,16,5,6,"… To do so we present a simulation study including a number of … Despite the small sample size, due to randomization there … , confidence interval and p-value calculation, in small sample …","https://link.springer.com/content/pdf/10.1186/s12874-020-00947-7.pdf","https://scholar.google.com/scholar?q=related:xD7Jb1Tlm9IJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2021"
36,"I Cenzer, WJ Boscardin, K Berger","Performance of matching methods in studies of rare diseases: a simulation study",2020,"Intractable &Rare Diseases …","jstage.jst.go.jp","https://www.jstage.jst.go.jp/article/irdr/9/2/9_2020.01016/_article/-char/ja/","https://scholar.google.com/scholar?cites=2652125150141717281&as_sdt=2005&sciodt=2007&hl=en",2,"2026-05-28 08:25:25","","","",,,,,,36,6.00,12,3,6,"… We used Monte Carlo simulations to compare the following … First, because of the small sample size, building a propensity score … whether the 95% confidence interval for risk difference …","https://www.jstage.jst.go.jp/article/irdr/9/2/9_2020.01016/_pdf","https://scholar.google.com/scholar?q=related:IZsTwsU9ziQJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2021"
92,"H Bodory, L Camponovo, M Huber…","The finite sample performance of inference methods for propensity score matching and weighting estimators",2020,"Journal of Business & …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/07350015.2018.1476247","https://scholar.google.com/scholar?cites=15413478903660600975&as_sdt=2005&sciodt=2007&hl=en",3,"2026-05-28 08:25:25","","10.1080/07350015.2018.1476247","",,,,,,92,15.33,23,4,6,"… with their performance in empirically founded Monte Carlo … a (due to the small sample size) noisy experimental estimate to be … bias adjustment, we assess inference based on variance …","https://www.econstor.eu/bitstream/10419/141465/1/dp9706.pdf","https://scholar.google.com/scholar?q=related:j96qFWat59UJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2021"
15,"Y Yu, M Zhang, X Shi, MEV Caram…","A comparison of parametric propensity score‐based methods for causal inference with multiple treatments and a binary outcome",2021,"Statistics in …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/sim.8862","https://scholar.google.com/scholar?cites=4947153205785576477&as_sdt=2005&sciodt=2007&hl=en",4,"2026-05-28 08:25:25","","10.1002/sim.8862","",,,,,,15,3.00,3,5,5,"… to correct for such confounding biases. A large fraction of … performance of these methods through a set of simulation … of IPW is the augmented inverse probability weighting (AIPW), where …","https://onlinelibrary.wiley.com/doi/am-pdf/10.1002/sim.8862","https://scholar.google.com/scholar?q=related:HcRIKKHRp0QJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2021"
45,"SP Fortin, SS Johnston, MJ Schuemie","Applied comparison of large‐scale propensity score matching and cardinality matching for causal inference in observational research",2021,"BMC Medical Research …","Springer","https://link.springer.com/article/10.1186/s12874-021-01282-1","https://scholar.google.com/scholar?cites=6450514828997908883&as_sdt=2005&sciodt=2007&hl=en",5,"2026-05-28 08:25:25","","10.1186/s12874-021-01282-1","",,,,,,45,9.00,15,3,5,"… pronounced in studies with small sample sizes. The current … -Chain Monte Carlo and expressed as 95 % credible intervals. … : hazard ratio; CI: confidence interval; SE: standard error of …","https://link.springer.com/content/pdf/10.1186/s12874-021-01282-1.pdf","https://scholar.google.com/scholar?q=related:k1nPiA_VhFkJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2021"
154,"Y Zhou, RA Matsouaka…","Propensity score weighting under limited overlap and model misspecification",2020,"Statistical methods in …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0962280220940334","https://scholar.google.com/scholar?cites=525930304322036922&as_sdt=2005&sciodt=2007&hl=en",6,"2026-05-28 08:25:25","","10.1177/0962280220940334","",,,,,,154,25.67,51,3,6,"… In this paper, we conduct extensive simulation studies to … The traditional inverse probability weighting (IPW) assigns … of the treatment options), small sample size, and misspecifications of …","https://arxiv.org/pdf/2006.04038","https://scholar.google.com/scholar?q=related:umS6RdN6TAcJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2021"
2,"R Jreich, B Sebastien","Comparison of statistical methodologies used to estimate the treatment effect on time-to-event outcomes in observational studies",2021,"Journal of Biopharmaceutical Statistics","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/10543406.2021.1918140","https://scholar.google.com/scholar?cites=14817996643539193783&as_sdt=2005&sciodt=2007&hl=en",7,"2026-05-28 08:25:25","","10.1080/10543406.2021.1918140","",,,,,,2,0.40,1,2,5,"… In the literature, propensity score (PS) was introduced for the … bias, MSE, coverage probability, and confidence interval … on our simulation results, for a dataset with a small sample size …","","https://scholar.google.com/scholar?q=related:t48VLXAZpM0J:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2021"
0,"D Weber","Applying matching procedures in the generation and synthesis of evidence",2021,"","archiv.ub.uni-heidelberg.de","https://archiv.ub.uni-heidelberg.de/volltextserver/29286/","",8,"2026-05-28 08:25:25","","","",,,,,,0,0.00,0,1,5,"… Mean matching rate/mean lower confidence interval (CI) limit … starts by a 1:1 propensity score matching and is followed by … analysis step, if a small sample size in the control group is …","https://archiv.ub.uni-heidelberg.de/volltextserver/29286/1/Weber_Dorothea_12_07_1991.pdf","https://scholar.google.com/scholar?q=related:MonSOVzvigQJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2021"
0,"Y Zhong","Developing and Evaluating Innovative Approaches for Estimating Causal Effects of Low-Dose Aspirin on Pregnancy Outcomes",2021,"","search.proquest.com","https://search.proquest.com/openview/06bb2abe77a52292976d21fd752975c3/1?pq-origsite=gscholar&cbl=18750&diss=y","",9,"2026-05-28 08:25:25","","","",,,,,,0,0.00,0,1,5,"… The propensity score can be truncated using the g.bound argument … was observed even with a relatively small sample size (n=… improvements in bias and confidence interval coverage of …","https://d-scholarship.pitt.edu/41429/1/YZ_Dissertation.pdf","https://scholar.google.com/scholar?q=related:ae_UpD8-6zQJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2021"
63,"D Shu, JG Young, S Toh, R Wang","Variance estimation in inverse probability weighted Cox models",2021,"Biometrics","academic.oup.com","https://academic.oup.com/biometrics/article-abstract/77/3/1101/7445063","https://scholar.google.com/scholar?cites=18178964066437880808&as_sdt=2005&sciodt=2007&hl=en",10,"2026-05-28 08:25:25","","","",,,,,,63,12.60,16,4,5,"… estimating equations for the propensity score weights and the … IPW estimator of θ: Inverse probability weighting effectively … With a small sample size of formula ⁠, the bootstrap method …","https://pmc.ncbi.nlm.nih.gov/articles/PMC12534113/","https://scholar.google.com/scholar?q=related:6NuejICnSPwJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2021"
92,"L Hu, C Gu, M Lopez, J Ji…","Estimation of causal effects of multiple treatments in observational studies with a binary outcome",2020,"Statistical methods in …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0962280220921909","https://scholar.google.com/scholar?cites=597797724997797613&as_sdt=2005&sciodt=2007&hl=en",11,"2026-05-28 08:25:25","","10.1177/0962280220921909","",,,,,,92,15.33,18,5,6,"… in contrast to propensity score matching and subclassification, … confidence interval coverage among all propensity score … The relatively small sample size (400) in the first group—which …","https://journals.sagepub.com/doi/pdf/10.1177/0962280220921909","https://scholar.google.com/scholar?q=related:7cYHFt3NSwgJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2021"
0,"D Kronsteiner","Applying Matching Procedures in the Generation and Synthesis of Evidence",2020,"","Dissertation, Heidelberg, Universität …","","",12,"2026-05-28 08:25:25","CITATION","","",,,,,,0,0.00,0,1,6,"","","https://scholar.google.com/scholar?q=related:MoZtyfSEvPAJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2021"
