Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"S Amiri","Application of Propensity Score Adjustment to Reduce the Survivorship Bias in Assessing Neurocognitive and Functional Outcomes of Children after Early …",2023,"","ualberta.scholaris.ca","https://ualberta.scholaris.ca/bitstreams/ccc8a70d-189a-4bc0-b91d-93644e9dbc06/download","",1,"2026-05-28 08:26:09","PDF","","",,,,,,0,0.00,0,1,3,"… IPW - Inverse probability weighting PSC - Propensity score … missing value, a small sample size, or an unbalanced group. … Precision is the confidence interval (CI) in assessing the …","https://ualberta.scholaris.ca/bitstreams/ccc8a70d-189a-4bc0-b91d-93644e9dbc06/download","https://scholar.google.com/scholar?q=related:wbMBO_X_tnQJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2023"
0,"Q Man","The performance of propensity score matching and weighting methods on samples of various properties",2023,"","ideals.illinois.edu","https://www.ideals.illinois.edu/items/128601","",2,"2026-05-28 08:26:09","","","",,,,,,0,0.00,0,1,3,"… performance in terms of bias and … confidence interval coverage rate of about 85% in medium overlap condition and 68% in weak overlap condition. The effect of the small sample size …","https://www.ideals.illinois.edu/items/128601/bitstreams/429698/data.pdf","https://scholar.google.com/scholar?q=related:2VVWmHm1lnYJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2023"
29,"J Lin, J Lin","Incorporating propensity scores for evidence synthesis under bayesian framework: review and recommendations for clinical studies",2022,"Journal of biopharmaceutical statistics","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/10543406.2021.1882481","https://scholar.google.com/scholar?cites=3232162531472119276&as_sdt=2005&sciodt=2007&hl=en",3,"2026-05-28 08:26:09","","10.1080/10543406.2021.1882481","",,,,,,29,7.25,15,2,4,"… propensity score analysis are also extensively discussed in the literature. More accurate variances of the estimator with a small sample size … and consistent confidence interval coverage, …","","https://scholar.google.com/scholar?q=related:7BW5mLLy2iwJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2023"
3,"S Yang, R Zhou, F Li…","Propensity score weighting methods for causal subgroup analysis with time-to-event outcomes",2023,"Statistical Methods in …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/09622802231188517","https://scholar.google.com/scholar?cites=7314794559583964272&as_sdt=2005&sciodt=2007&hl=en",4,"2026-05-28 08:26:09","","10.1177/09622802231188517","",,,,,,3,1.00,1,4,3,"… ) and weighting schemes (inverse probability weighting, and overlap … The confidence interval is estimated by a normal … effects, particularly under small sample size, moderate and strong …","","https://scholar.google.com/scholar?q=related:cEz2gOVeg2UJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2023"
7,"F Chatelet, B Verillaud, S Chevret","How to perform prespecified subgroup analyses when using propensity score methods in the case of imbalanced subgroups",2023,"BMC Medical Research Methodology","Springer","https://link.springer.com/article/10.1186/s12874-023-02071-8","https://scholar.google.com/scholar?cites=18176106632257050260&as_sdt=2005&sciodt=2007&hl=en",5,"2026-05-28 08:26:09","","10.1186/s12874-023-02071-8","",,,,,,7,2.33,2,3,3,"… We also reported the 95% confidence interval of the bias estimation, using the Monte Carlo … In the case of a small sample size, replacement has been demonstrated to reduce this …","https://link.springer.com/content/pdf/10.1186/s12874-023-02071-8.pdf","https://scholar.google.com/scholar?q=related:lJZNT66APvwJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2023"
2,"J Wilkinson, MA Mamas, E Kontopantelis","How do dataset characteristics affect the performance of propensity score methods and regression for controlling confounding in observational studies? A simulation …",2022,"arXiv preprint arXiv:2203.13067","arxiv.org","https://arxiv.org/abs/2203.13067","https://scholar.google.com/scholar?cites=243573165288463935&as_sdt=2005&sciodt=2007&hl=en",6,"2026-05-28 08:26:09","","","",,,,,,2,0.50,1,3,4,"… This resulted in the regression confidence interval frequently … be particularly affected by small sample size, imbalance in the … by inverse probability weighting using the propensity score. …","https://arxiv.org/pdf/2203.13067","https://scholar.google.com/scholar?q=related:Px7W2YBYYQMJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2023"
23,"A Remiro-Azócar","Two-stage matching-adjusted indirect comparison",2022,"BMC medical research methodology","Springer","https://link.springer.com/article/10.1186/s12874-022-01692-9","https://scholar.google.com/scholar?cites=13513836194848324963&as_sdt=2005&sciodt=2007&hl=en",7,"2026-05-28 08:26:09","","10.1186/s12874-022-01692-9","",,,,,,23,5.75,23,1,4,"… (MAIC), based on propensity score weighting, is the most widely … variances for continuous covariates [11] but initial simulation … validity (valid confidence interval estimates). The selected …","https://link.springer.com/content/pdf/10.1186/s12874-022-01692-9.pdf","https://scholar.google.com/scholar?q=related:Yz3AemvKirsJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2023"
20,"M Salditt, S Nestler","Parametric and nonparametric propensity score estimation in multilevel observational studies",2023,"Statistics in Medicine","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/sim.9852","https://scholar.google.com/scholar?cites=1737945545728991641&as_sdt=2005&sciodt=2007&hl=en",8,"2026-05-28 08:26:09","","10.1002/sim.9852","",,,,,,20,6.67,10,2,3,"… terms of bias and confidence interval coverage when the true … a simulation study in which we compared the performance of … a backfitting Markov Chain-Monte Carlo (MCMC) algorithm …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/sim.9852","https://scholar.google.com/scholar?q=related:mSEmDERsHhgJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2023"
18,"RA Matsouaka, Y Liu, Y Zhou","Variance estimation for the average treatment effects on the treated and on the controls",2023,"Statistical Methods in …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/09622802221142532","https://scholar.google.com/scholar?cites=1756289303651984597&as_sdt=2005&sciodt=2007&hl=en",9,"2026-05-28 08:26:09","","10.1177/09622802221142532","",,,,,,18,6.00,6,3,3,"… estimates, such as variance or confidence interval (CI), which are … was also remarked in the context of propensity score matching. … (intractable matrix derivation or small sample size), we …","https://arxiv.org/pdf/2209.10742","https://scholar.google.com/scholar?q=related:1aT-AtGXXxgJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2023"
8,"R Zhao, B Lu","Flexible template matching for observational study design",2023,"Statistics in medicine","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/sim.9698","https://scholar.google.com/scholar?cites=5798814718779514287&as_sdt=2005&sciodt=2007&hl=en",10,"2026-05-28 08:26:09","","10.1002/sim.9698","",,,,,,8,2.67,4,2,3,"… As an alternative to using a parametric propensity score … simulation studies to justify the empirical performance of our … focus on bias, as matching is designed to remove bias due to …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/sim.9698","https://scholar.google.com/scholar?q=related:r90oZ0OHeVAJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2023"
14,"CW Williamson, TJ Nelson, CA Thompson…","Bias reduction through analysis of competing events (BRACE) correction to address cancer treatment selection bias in observational data",2022,"Clinical Cancer …","aacrjournals.org","https://aacrjournals.org/clincancerres/article-abstract/28/9/1832/694464","https://scholar.google.com/scholar?cites=13229817087862469686&as_sdt=2005&sciodt=2007&hl=en",11,"2026-05-28 08:26:09","","","",,,,,,14,3.50,4,4,4,"… 1 and the upper limit of the 95% confidence interval (CI) for | $\… For propensity score adjustment, we implemented IPTW with … For small sample size scenarios, the assumptions for testing …","","https://scholar.google.com/scholar?q=related:NnRv_YvAmbcJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2023"
8,"SS Ye, Y Chen, OHM Padilla","2D score-based estimation of heterogeneous treatment effects",2023,"Journal of Causal Inference","degruyterbrill.com","https://www.degruyterbrill.com/document/doi/10.1515/jci-2022-0016/html","https://scholar.google.com/scholar?cites=8912850438550068330&as_sdt=2005&sciodt=2007&hl=en",12,"2026-05-28 08:26:09","HTML","10.1515/jci-2022-0016","",,,,,,8,2.67,3,3,3,"… [9, 10] achieve great performance in minimizing bias in estimating … on prognostic factors in propensity score matching was first … For propensity score, we apply a logistic regression on the …","https://www.degruyterbrill.com/document/doi/10.1515/jci-2022-0016/html","https://scholar.google.com/scholar?q=related:ahz2ZUDOsHsJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2023"
