Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"R Zhao","Template Matching Methods for Causal Inference in Complex Observational Studies",2024,"","search.proquest.com","https://search.proquest.com/openview/331bb4618523d47d473d934b61f8c382/1?pq-origsite=gscholar&cbl=18750&diss=y","",1,"2026-05-28 08:30:41","BOOK","","",,,,,,0,0.00,0,1,2,"… First, we estimate propensity score pt for each individual at … sample, but the small sample size increases the variance. The … 120 regarding relative bias and confidence interval coverage. …","https://etd.ohiolink.edu/acprod/odb_etd/ws/send_file/send?accession=osu1718370035448683&disposition=inline","https://scholar.google.com/scholar?q=related:INGfEjCzKAcJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2024&as_yhi=2024"
12,"S Ren, S Ren, NJ Welton…","Advancing unanchored simulated treatment comparisons: A novel implementation and simulation study",2024,"Research Synthesis …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/jrsm.1718","https://scholar.google.com/scholar?cites=12098004527612622740&as_sdt=2005&sciodt=2007&hl=en",2,"2026-05-28 08:30:41","","10.1002/jrsm.1718","",,,,,,12,6.00,3,4,2,"… as regression adjustment, propensity score and doubly robust … of repetitions with its 95% confidence interval (CI) contains the … overlap and small sample size, the size of the bias seems …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jrsm.1718","https://scholar.google.com/scholar?q=related:lPdqFwW_5KcJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2024&as_yhi=2024"
0,"H Bodory, M Huber, M Lechner","The finite sample performance of instrumental variable-based estimators of the Local Average Treatment Effect when controlling for covariates",2024,"Computational Economics","Springer","https://link.springer.com/article/10.1007/s10614-023-10507-y","",3,"2026-05-28 08:30:41","","10.1007/s10614-023-10507-y","",,,,,,0,0.00,0,3,2,"… is included in the 95% confidence interval of a LATE estimator. … to be the first empirical Monte Carlo simulation that offers a … For propensity score matching, we base the weights on the …","https://link.springer.com/content/pdf/10.1007/s10614-023-10507-y.pdf","https://scholar.google.com/scholar?q=related:ngaGrNhc99QJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2024&as_yhi=2024"
17,"Y Lee, WL Leite","A comparison of random forest-based missing imputation methods for covariates in propensity score analysis.",2024,"Psychological Methods","psycnet.apa.org","https://psycnet.apa.org/fulltext/2024-91779-001.html","https://scholar.google.com/scholar?cites=7217167056084602308&as_sdt=2005&sciodt=2007&hl=en",4,"2026-05-28 08:30:41","","","",,,,,,17,8.50,9,2,2,"… Through Monte Carlo simulations, this study evaluates the … Through the Monte Carlo Simulation, this section compares … Such studies often have small sample sizes due to low …","https://osf.io/preprints/psyarxiv/a47w6","https://scholar.google.com/scholar?q=related:xA2TBjOHKGQJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2024&as_yhi=2024"
0,"S Zheng","The Use of the Win Ratio Method in Clinical Trials",2024,"","research.lstmed.ac.uk","https://research.lstmed.ac.uk/ws/portalfiles/portal/22785689/file","",5,"2026-05-28 08:30:41","PDF","","",,,,,,0,0.00,0,1,2,"… win ratio method through Monte Carlo simulations and real-… its statistical power in small sample-size clinical trials, which … estimate the treatment effect and confidence interval (CI), which …","https://research.lstmed.ac.uk/ws/portalfiles/portal/22785689/file","https://scholar.google.com/scholar?q=related:ZbKxkMGjikYJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2024&as_yhi=2024"
0,"J Huang","Empirical Likelihood Methods for Causal Inference",2024,"","uwspace.uwaterloo.ca","https://uwspace.uwaterloo.ca/items/8a107c85-0bd7-4f2b-9472-6efccc6b859d","",6,"2026-05-28 08:30:41","","","",,,,,,0,0.00,0,1,2,"… , including inverse probability weighting, propensity score-… or the propensity score model is misspecified, through simulation … − α)%-level PEL ratio confidence interval for θ in the form of …","https://uwspace.uwaterloo.ca/bitstreams/3afc7b7a-08ec-486e-a810-387dcebc1154/download","https://scholar.google.com/scholar?q=related:HqelsD7txREJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2024&as_yhi=2024"
19,"S Park, S Kang, C Lee","Choosing an optimal method for causal decomposition analysis with continuous outcomes: A review and simulation study",2024,"Sociological methodology","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/00811750231183711","https://scholar.google.com/scholar?cites=3776125365689844567&as_sdt=2005&sciodt=2007&hl=en",7,"2026-05-28 08:30:41","","10.1177/00811750231183711","",,,,,,19,9.50,6,3,2,"… the performance in terms of bias, variance, and coverage of … The coverage rate for the 95 percent confidence interval is … bias is somewhat larger for estimator 6 with a small sample size…","https://journals.sagepub.com/doi/pdf/10.1177/00811750231183711","https://scholar.google.com/scholar?q=related:VwNJaQN-ZzQJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2024&as_yhi=2024"
0,"R Mo","Robust Inference for Heterogeneous Treatment Effects With Applications to NHANES Data",2024,"","search.proquest.com","https://search.proquest.com/openview/cd15fafa66a53aff5ad3d2c9a32696d1/1?pq-origsite=gscholar&cbl=18750&diss=y","",8,"2026-05-28 08:30:41","BOOK","","",,,,,,0,0.00,0,1,2,"… small sample size, our analysis underscores the necessity of our proposed method, as the confidence interval … ), we assume the propensity score is correctly specified by the generalized …","https://hammer.purdue.edu/articles/thesis/ROBUST_INFERENCE_FOR_HETEROGENEOUS_TREATMENT_EFFECTS_WITH_APPLICATIONS_TO_NHANES_DATA/27910248/1/files/50818326.pdf","https://scholar.google.com/scholar?q=related:4Q_p3gFf2S8J:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2024&as_yhi=2024"
0,"J de Keizer, R Lenain, R Porcher, S Zoha…","G-computation for increasing performances of clinical trials with individual randomization and binary response",2024,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2411.10089","",9,"2026-05-28 08:30:41","","","",,,,,,0,0.00,0,5,2,"… with a skewed covariate and small sample size, the authors … empirical coverage rate of the nominal 95% confidence interval, … by inverse probability weighting using the propensity score. …","https://arxiv.org/pdf/2411.10089?","https://scholar.google.com/scholar?q=related:8i4QyTEL7_gJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2024&as_yhi=2024"
1,"H Qiu","Non-plug-in estimators could outperform plug-in estimators: a cautionary note and a diagnosis",2024,"Epidemiologic Methods","degruyterbrill.com","https://www.degruyterbrill.com/document/doi/10.1515/em-2024-0008/html","https://scholar.google.com/scholar?cites=16527046564728898349&as_sdt=2005&sciodt=2007&hl=en",10,"2026-05-28 08:30:41","HTML","10.1515/em-2024-0008","",,,,,,1,0.50,1,1,2,"… For the small sample size, because of the low prevalence of … Y is rare but the propensity score is bounded away from zero … compute a 95 % Wald-confidence interval (CI) for ψ based on …","https://www.degruyterbrill.com/document/doi/10.1515/em-2024-0008/html","https://scholar.google.com/scholar?q=related:LYMBXUndW-UJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2024&as_yhi=2024"
3,"S Lee, JH Park, W Lee","Sensitivity analysis for unmeasured confounding in estimating the difference in restricted mean survival time",2024,"Statistical Methods in Medical …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/09622802241280782","https://scholar.google.com/scholar?cites=308690082031672121&as_sdt=2005&sciodt=2007&hl=en",11,"2026-05-28 08:30:41","","10.1177/09622802241280782","",,,,,,3,1.50,1,3,2,"… the percentile bootstrap confidence interval. Analytic results … as propensity score matching, inverse probability weighting, … low statistical power from the small sample size of the data. It is …","","https://scholar.google.com/scholar?q=related:ORsvff6vSAQJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2024&as_yhi=2024"
0,"J Liu, X Wang, H Pang","Covariate Adjustment in Analyzing Randomized Clinical Trials: Approaches, Software, and Application",2024,"… and Development: Clinical Trial Analysis, Volume …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-65937-9_14","",12,"2026-05-28 08:30:41","","10.1007/978-3-031-65937-9_14","",,,,,,0,0.00,0,3,2,"… consider the variation from estimating the propensity score. … , and its performance under a small sample size (less than … p-value, point estimation, and confidence interval. Since AIPTW is …","https://www.researchgate.net/profile/Jiajun-Liu-28/publication/387379210_Covariate_Adjustment_in_Analyzing_Randomized_Clinical_Trials_Approaches_Software_and_Application/links/67d88d0e35f7044c9231b53c/Covariate-Adjustment-in-Analyzing-Randomized-Clinical-Trials-Approaches-Software-and-Application.pdf","https://scholar.google.com/scholar?q=related:H7PZdkDwFO8J:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2024&as_yhi=2024"
1,"J Shan, X Yan","Nonparametric causal inference with confounders missing not at random",2024,"Statistica Neerlandica","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/stan.12343","https://scholar.google.com/scholar?cites=17182914323738679931&as_sdt=2005&sciodt=2007&hl=en",13,"2026-05-28 08:30:41","","10.1111/stan.12343","",,,,,,1,0.50,1,2,2,"… We verify our theoretical results in the simulation studies. … variance estimator and construct the confidence interval for … We first consider estimation of the propensity score, pr ( A = 1 | X ) $…","","https://scholar.google.com/scholar?q=related:e1pq2In5de4J:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2024&as_yhi=2024"
1,"W Pan, D Almirall, AM Kilbourne, A Quanbeck…","Finite-sample adjustments for comparing clustered adaptive interventions using data from a clustered SMART",2024,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2405.00185","https://scholar.google.com/scholar?cites=17957848123628048168&as_sdt=2005&sciodt=2007&hl=en",14,"2026-05-28 08:30:41","","","",,,,,,1,0.50,0,5,2,"… of clusters, but fail for cSMARTs with small sample sizes. … Based on the results of an extensive set of simulation … well in terms of coverage rate of confidence interval and estimation of …","https://arxiv.org/pdf/2405.00185","https://scholar.google.com/scholar?q=related:KM9DQ7kXN_kJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2024&as_yhi=2024"
