Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"T Filla","Comparison of different propensity score methods for estimating treatment effects in non-randomized studies with survival data.",2025,"","docserv.uni-duesseldorf.de","https://docserv.uni-duesseldorf.de/servlets/DerivateServlet/Derivate-75181","",1,"2026-05-28 08:44:14","PDF","","",,,,,,0,0.00,0,1,1,"… of the standard method inverse probability weighting (IPTW) is poor … A small sample size in an RCT increases the risk of larger … , the coverage of the 95% confidence interval using robust …","https://docserv.uni-duesseldorf.de/servlets/DerivateServlet/Derivate-75181","https://scholar.google.com/scholar?q=related:0SW1V3dT-MwJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2026"
1,"J Burnell","Using Propensity Score methods for estimating real-world treatment effects in the presence of measurement error and sparse outcome data",2025,"","knowledge.lancashire.ac.uk","https://knowledge.lancashire.ac.uk/id/eprint/57525/","https://scholar.google.com/scholar?cites=18362233103551115768&as_sdt=2005&sciodt=2007&hl=en",2,"2026-05-28 08:44:14","","","",,,,,,1,1.00,1,1,1,"… For each simulation, PS conditioning was applied to the data to … error affected bias, Type I error control and Confidence Interval (… in quite large datasets not just due to small sample size. …","https://knowledge.lancashire.ac.uk/id/eprint/57525/1/Burnell%20Jane%20e-Thesis%20%28July%202022%29.pdf","https://scholar.google.com/scholar?q=related:-DEVbLjB0_4J:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2026"
0,"M Schnuerch, A Ocampo, KK Holst, C Stock","Assessing covariate-adjusted risk differences in small-sample clinical trials",2026,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2605.19772","",3,"2026-05-28 08:44:14","","","",,,,,,0,0.00,0,4,1,"… and variance estimation rather than small sample size alone. … In Section 4, we describe our simulation study, comparing … , estimation bias, and confidence interval coverage, across …","https://arxiv.org/pdf/2605.19772","https://scholar.google.com/scholar?q=related:4w_xV6rkaRgJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2026"
1,"S Ahmed, AK Dwivedi","Adjusted effect size, area under the curve, and c-statistic for evaluating the association between uric acid and mortality in US adults using unweighted and survey …",2026,"PeerJ","peerj.com","https://peerj.com/articles/20815/","https://scholar.google.com/scholar?cites=3303202359157536483&as_sdt=2005&sciodt=2007&hl=en",4,"2026-05-28 08:44:14","","","",,,,,,1,1.00,1,2,1,"… covariate adjustment through a propensity score model without … helpful when there is a small sample size study, causing high … % confidence interval width of the exposure coefficient, the …","https://peerj.com/articles/20815.pdf","https://scholar.google.com/scholar?q=related:4zbRZgtV1y0J:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2026"
0,"Y Xu","Target Trial Emulation for Impact Evaluation of Group Health Policies",2026,"","researchonline.lshtm.ac.uk","https://researchonline.lshtm.ac.uk/id/eprint/4681613","",5,"2026-05-28 08:44:14","","","",,,,,,0,0.00,0,1,1,"… , though their study was limited by small sample size. [11, 80] … In point treatment settings, a propensity score (PS) model is … Improvements in bias reduction and confidence interval …","https://researchonline.lshtm.ac.uk/id/eprint/4681613/1/2026_EPH_PhD_Xu_Y.pdf","https://scholar.google.com/scholar?q=related:a9JDP6GPKmsJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2026"
0,"Y Chen","Some statistical methods to deal with patient heterogeneity in clinical trial design and causal inference",2025,"","search.proquest.com","https://search.proquest.com/openview/3bb871c701216cde05e96e0e21759266/1?pq-origsite=gscholar&cbl=18750&diss=y","",6,"2026-05-28 08:44:14","BOOK","","",,,,,,0,0.00,0,1,1,"… based perturbation method for confidence interval construction for … have smaller variances and similarly negligible biases compared … in this function is based on Monte Carlo simulation. …","https://asset.library.wisc.edu/1711.dl/V7ZSLM5ROCECY8B/R/file-e2208.pdf","https://scholar.google.com/scholar?q=related:PE6J_p6LCI8J:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2026"
18,"J Xuan, S Mt-Isa, N Latimer…","Is inverse probability of censoring weighting a safer choice than per-protocol analysis in clinical trials?",2025,"… Methods in Medical …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/09622802241289559","https://scholar.google.com/scholar?cites=6316401651404348264&as_sdt=2005&sciodt=2007&hl=en",7,"2026-05-28 08:44:14","","10.1177/09622802241289559","",,,,,,18,18.00,5,4,1,"… (RMSE) and coverage (%) of the 95% confidence interval (CI) … Monte Carlo standard error (MCSE) for these performance … For trials with a small sample size, we may obtain biased …","https://journals.sagepub.com/doi/pdf/10.1177/09622802241289559","https://scholar.google.com/scholar?q=related:aJulEtZdqFcJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2026"
0,"W Li","Comparing Tree-Based Methods and Logistic Regression for Propensity Score Estimation in Causal Inference: Cautions and Recommendations",2025,"","search.proquest.com","https://search.proquest.com/openview/555270a7df0f7430e8d24d36017aa1ba/1?pq-origsite=gscholar&cbl=18750&diss=y","",8,"2026-05-28 08:44:14","","","",,,,,,0,0.00,0,1,1,"… adapted a simulation study to compare the performance of … its estimated bias increased as the number of covariates … its coverage probability (CP) deteriorated with a small sample size. …","","https://scholar.google.com/scholar?q=related:m8A87MHqaYkJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2026"
6,"MJ Smith, RV Phillips, C Maringe…","Performance of Cross‐Validated Targeted Maximum Likelihood Estimation",2025,"Statistics in …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/sim.70185","https://scholar.google.com/scholar?cites=12984112193215823469&as_sdt=2005&sciodt=2007&hl=en",9,"2026-05-28 08:44:14","","10.1002/sim.70185","",,,,,,6,6.00,2,4,1,"… confidence interval coverage without adversely affecting bias, … Small sample size can lead to random noise dominating the … for the outcome and propensity score models Tree-based …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/sim.70185","https://scholar.google.com/scholar?q=related:bX5yOD_VMLQJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2026"
5,"PA Shaw, S Gruber, BD Williamson, R Desai…","A cautionary note for plasmode simulation studies in the setting of causal inference",2025,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2504.11740","https://scholar.google.com/scholar?cites=8386067368462962407&as_sdt=2005&sciodt=2007&hl=en",10,"2026-05-28 08:44:14","","","",,,,,,5,5.00,1,5,1,"… challenges including rare events, small sample size, etc., that … biased with lower than nominal confidence interval coverage. … same issue for propensity score matching estimators. These …","https://arxiv.org/pdf/2504.11740","https://scholar.google.com/scholar?q=related:5866H9dLYXQJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2026"
0,"MJ Smith, RV Phillips, C Maringe…","Performance of Cross-Validated Targeted Maximum Likelihood Estimation",2025,"","digibug.ugr.es","https://digibug.ugr.es/handle/10481/106438","",11,"2026-05-28 08:44:14","","","",,,,,,0,0.00,0,4,1,"… confidence interval coverage without adversely affecting bias, … Small sample size can lead to random noise dominating the … A simplistic approach is to truncate the propensity score at …","https://digibug.ugr.es/bitstream/handle/10481/106438/Statistics%20in%20Medicine%20-%202025%20-%20Smith%20-%20Performance%20of%20Cross%E2%80%90Validated%20Targeted%20Maximum%20Likelihood%20Estimation.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:XkmPSR-uNHkJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2026"
4,"K Stahlmann, B Kellerhuis, JB Reitsma…","Comparison of methods to handle missing values in a continuous index test in a diagnostic accuracy study–a simulation study",2025,"BMC Medical Research …","Springer","https://link.springer.com/article/10.1186/s12874-025-02594-2","https://scholar.google.com/scholar?cites=903961387829928715&as_sdt=2005&sciodt=2007&hl=en",12,"2026-05-28 08:44:14","","10.1186/s12874-025-02594-2","",,,,,,4,4.00,1,4,1,"… an empirical likelihood based confidence interval assuming the … valid estimates for a small sample size while all methods … with MI methods, inverse probability weighting, and empirical …","https://link.springer.com/content/pdf/10.1186/s12874-025-02594-2.pdf","https://scholar.google.com/scholar?q=related:C6NFxBeEiwwJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2026"
24,"RA Matsouaka, Y Liu, Y Zhou","Overlap, matching, or entropy weights: what are we weighting for?",2025,"… in statistics-Simulation and …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/03610918.2024.2319419","https://scholar.google.com/scholar?cites=13466654066227199437&as_sdt=2005&sciodt=2007&hl=en",13,"2026-05-28 08:44:14","","10.1080/03610918.2024.2319419","",,,,,,24,24.00,8,3,1,"… Our findings are illustrated through Monte-Carlo simulation … -sample performance of the estimator, influencing both its bias … inside of its estimated confidence interval. For both ARBias …","https://arxiv.org/pdf/2210.12968","https://scholar.google.com/scholar?q=related:zb2KGoYq47oJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2026"
3,"TM De Groot, MR Shimizu, OQ GROOT…","Hospital-related healthcare expenditure of impending versus completed pathological femur fractures: a propensity score matched study of 265 patients",2025,"Acta …","pmc.ncbi.nlm.nih.gov","https://pmc.ncbi.nlm.nih.gov/articles/PMC12118376/","https://scholar.google.com/scholar?cites=4138023286463016679&as_sdt=2005&sciodt=2007&hl=en",14,"2026-05-28 08:44:14","HTML","","",,,,,,3,3.00,1,4,1,"… retrospective cohort study with propensity score matching (PSM). … studies is limited by its small sample size, and neither study … The confidence interval for the difference in treatment costs …","https://pmc.ncbi.nlm.nih.gov/articles/PMC12118376/","https://scholar.google.com/scholar?q=related:5y7sPUE2bTkJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2026"
0,"L Wang, Y Zhang, TS Richardson…","Rank‐based estimation of propensity score weights via subclassification",2025,"Canadian Journal of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/cjs.70014","",15,"2026-05-28 08:44:14","","10.1002/cjs.70014","",,,,,,0,0.00,0,4,1,"… In contrast, with a small sample size, the coarsened weights are … results that we report are based on 1000 Monte Carlo samples. We … confidence interval estimates. Following Theorem 3…","https://onlinelibrary.wiley.com/doi/pdf/10.1002/cjs.70014","https://scholar.google.com/scholar?q=related:LqHd_gZ8uXYJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2026"
4,"E Minus, RY Coley, SM Shortreed…","Behavior of prediction performance metrics with rare events",2025,"Journal of clinical …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0895435625003798","https://scholar.google.com/scholar?cites=5402447790496795353&as_sdt=2005&sciodt=2007&hl=en",16,"2026-05-28 08:44:14","","","",,,,,,4,4.00,1,4,1,"… In a plasmode simulation study, we observed near zero bias … 95% coverage indicate one MonteCarlo standard error. … which we assessed bias and confidence interval coverage. We …","https://pmc.ncbi.nlm.nih.gov/articles/PMC12667734/","https://scholar.google.com/scholar?q=related:2conXqRZ-UoJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2026"
0,"DA Bartolo","A Simulation Study Comparing Four Alternative Approaches to Estimate Causal Mediated Effects in the Single-Mediator Model",2025,"","search.proquest.com","https://search.proquest.com/openview/00bb6def8efbcc0f19d0e81ffc3d9413/1?pq-origsite=gscholar&cbl=18750&diss=y","",17,"2026-05-28 08:44:14","","","",,,,,,0,0.00,0,1,1,"… 1 error rates, and confidence interval coverage. However, … produced biased estimates for the direct effects in small sample sizes. … Inverse propensity score weighting (IPW) with truncated …","","https://scholar.google.com/scholar?q=related:X5_FkslAd24J:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2026"
4,"JM Limozin, SR Seaman, L Su","Inference procedures in sequential trial emulation with survival outcomes: Comparing confidence intervals based on the sandwich variance estimator, bootstrap and …",2025,"Statistical Methods in …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/09622802251356594","https://scholar.google.com/scholar?cites=9902560501506204468&as_sdt=2005&sciodt=2007&hl=en",18,"2026-05-28 08:44:14","","10.1177/09622802251356594","",,,,,,4,4.00,1,3,1,"… each simulation scenario, we calculated the empirical bias of … the Monte Carlo standard error of the empirical coverage (… coverage than Sandwich CIs at later visits in small sample size …","https://journals.sagepub.com/doi/pdf/10.1177/09622802251356594","https://scholar.google.com/scholar?q=related:NGMXY0_2bIkJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2026"
4,"W Zhang, J Shi, A Hubbard, M van der Laan","Constructing Confidence Intervals for Infinite-Dimensional Functional Parameters by Highly Adaptive Lasso",2025,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2507.10511","https://scholar.google.com/scholar?cites=8877850044460979322&as_sdt=2005&sciodt=2007&hl=en",19,"2026-05-28 08:44:14","","","",,,,,,4,4.00,1,4,1,"… strategies, and confidence-interval constructions. The results … in most scenarios with a small sample size. As the sample size … The true propensity score g0 is defined as g0 = [1 + FBeta(…","https://arxiv.org/pdf/2507.10511","https://scholar.google.com/scholar?q=related:elRIHZR1NHsJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2026"
3,"H Li, Y Liu, Y Zhou, J Liu, D Fu, RA Matsouaka","Variance estimation for weighted average treatment effects",2025,"Statistics in Biosciences","Springer","https://link.springer.com/article/10.1007/s12561-025-09503-7","https://scholar.google.com/scholar?cites=6144924748804139470&as_sdt=2005&sciodt=2007&hl=en",20,"2026-05-28 08:44:14","","10.1007/s12561-025-09503-7","",,,,,,3,3.00,1,6,1,"… With BOOT II, we first use the original sample to estimate the propensity score (PS) for each … an extensive Monte Carlo simulation study, in Sect. 4, to compare the performance of these …","https://arxiv.org/pdf/2508.08167","https://scholar.google.com/scholar?q=related:zin6d4AoR1UJ:scholar.google.com/&scioq=%22propensity+score%22+%22small+sample%22+bias+variance+simulation%7C%22propensity+score+matching%22+%22small+sample+size%22+performance+%22monte+carlo%22%7C%22inverse+probability+weighting%22+%22small+sample%22+coverage+%22confidence+interval%22&hl=en&as_sdt=2007&as_ylo=2025&as_yhi=2026"
