Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
4733,"GW Imbens","Nonparametric estimation of average treatment effects under exogeneity: A review",2004,"Review of Economics and statistics","direct.mit.edu","https://direct.mit.edu/rest/article-abstract/86/1/4/57476","https://scholar.google.com/scholar?cites=13590191971038677236&as_sdt=2005&sciodt=2007&hl=en",1,"2026-05-28 07:26:52","","","",,,,,,4733,215.14,4733,1,22,"… , matching, methods using the propensity score such as … the sample size, in which case the estimator would be efficient, … fully efficient estimators, but clearly their finitesample properties …","https://www.nber.org/system/files/working_papers/t0294/t0294.pdf","https://scholar.google.com/scholar?q=related:9Egg_5cPmrwJ:scholar.google.com/&scioq=%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
1,"S Zeng","Modeling and Methodological Advances in Causal Inference",2021,"","search.proquest.com","https://search.proquest.com/openview/6ded002468abd3b18dedbea4f1174722/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?cites=14571105751729642997&as_sdt=2005&sciodt=2007&hl=en",2,"2026-05-28 07:26:52","","","",,,,,,1,0.20,1,1,5,"… we investigate the use of propensity score weighting in the ran… IPW while offers better finite-sample properties (Section 2.2). … -sample operating characteristics of the weighting estimator. …","https://dukespace.lib.duke.edu/bitstreams/2bddb796-f9db-41a7-a9d6-9f8891e88afc/download","https://scholar.google.com/scholar?q=related:9R1_7Hr3NsoJ:scholar.google.com/&scioq=%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
4,"LEDA McGowan","Improving Modern Techniques of Causal Inference: Finite Sample Performance of ATM and ATO Doubly Robust Estimators, Variance Estimation for ATO …",2018,"","search.proquest.com","https://search.proquest.com/openview/3e72fb828f97e7300f8598905efe1d05/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?cites=17166986937140079276&as_sdt=2005&sciodt=2007&hl=en",3,"2026-05-28 07:26:52","BOOK","","",,,,,,4,0.50,4,1,8,"… the operating characteristics of propensity score weighting … ATO weights have excellent finite sample properties. We hope that … the benefits of propensity score based weighting methods. …","https://cdn.vanderbilt.edu/vu-URL/wp-content/uploads/sites/190/2017/11/19220446/dagostino-mcgowan.pdf","https://scholar.google.com/scholar?q=related:rGoBLKpjPe4J:scholar.google.com/&scioq=%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
0,"L Hu","Developing and Testing a New Method for Comparing More Than Two Treatments Using Electronic Health Records",2023,"","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/books/n/pcori10me2017c39041/?report=reader","",4,"2026-05-28 07:26:52","HTML","","",,,,,,0,0.00,0,1,3,"… in contrast to propensity score matching and subclassification, … of simulations to study the operating characteristics of BART for … to investigate the finite-sample properties of the proposed …","https://www.ncbi.nlm.nih.gov/books/n/pcori10me2017c39041/?report=reader","https://scholar.google.com/scholar?q=related:OGEdtoxezRsJ:scholar.google.com/&scioq=%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
0,"X Fang, X Wang, PJ Heagerty, B Wang, F Li","Model-robust standardization in stepped wedge designs",2025,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2507.17190","",5,"2026-05-28 07:26:52","","","",,,,,,0,0.00,0,5,1,"… We evaluate the finite-sample properties of our proposed … We denote ej = Ij/I as the known propensity score in period j … outcomes to illustrate the operating characteristics of the model-…","https://arxiv.org/pdf/2507.17190","https://scholar.google.com/scholar?q=related:vwBAAupwpJsJ:scholar.google.com/&scioq=%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
0,"BJ Pierre-Louis","Application of Novel Statistical Methods for Biomarker Selection to HIV Infection Data",2010,"","cdr.lib.unc.edu","https://cdr.lib.unc.edu/concern/dissertations/w3763757r","",6,"2026-05-28 07:26:52","","","",,,,,,0,0.00,0,1,16,"… of sample size and study populations for HIV efficacy trials. It … We will first present a brief review of the propensity score … suggest that PSW works well in small sample sizes (say N> 100…","https://cdr.lib.unc.edu/downloads/hx11xg073","https://scholar.google.com/scholar?q=related:2DHL8-zetzsJ:scholar.google.com/&scioq=%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
0,"B Neelon, D Chung","ENAR 2016 Abstracts &Poster Presentations",,"enar.org","","http://www.enar.org/meetings/spring2016/program/ENAR_2016_Final_Program_WEB_Abstracts.pdf","",7,"2026-05-28 07:26:52","PDF","","",,,,,,0,0.00,0,2,,"… by looking at their operating characteristics in simulation studies … procedure for determining the required sample size in a multi-… -step approach combining propensity score matching and …","http://www.enar.org/meetings/spring2016/program/ENAR_2016_Final_Program_WEB_Abstracts.pdf","https://scholar.google.com/scholar?q=related:96qqc2hXNeQJ:scholar.google.com/&scioq=%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
0,"BMW Hotel","with IMS and Sections of ASA",2014,"","enar.org","http://www.enar.org/meetings/meetings2014/2014_Abstracts_022814.pdf","",8,"2026-05-28 07:26:52","PDF","","",,,,,,0,0.00,0,1,12,"… to traditional propensity score matching entropy-matching algorithm … in operating characteristics. The effect of … Finite sample properties are investigated through extensive …","http://www.enar.org/meetings/meetings2014/2014_Abstracts_022814.pdf","https://scholar.google.com/scholar?q=related:Kq3GB86rmbgJ:scholar.google.com/&scioq=%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
0,"X Yang","Outcome-Adaptive Randomization and Optimization in Sequential Decision Making",2026,"","search.proquest.com","https://search.proquest.com/openview/30963a2fb0d2b8d3fbf52460e41b4ee9/1?pq-origsite=gscholar&cbl=18750&diss=y","",9,"2026-05-28 07:26:52","","","",,,,,,0,0.00,0,1,1,"… propensity score–based approaches such as stratification and … finite-sample properties of a doubly adaptive biased coin … a “burn-in” sample size with initial patients randomized equally …","","https://scholar.google.com/scholar?q=related:NYZ3dxoof5UJ:scholar.google.com/&scioq=%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
0,"X Zhou","Problems in Causal Inference With Applications in Social and Biomedical Sciences",2024,"","search.proquest.com","https://search.proquest.com/openview/b4cfc80b6e03a2cdba76d2b665170247/1?pq-origsite=gscholar&cbl=18750&diss=y","",10,"2026-05-28 07:26:52","","","",,,,,,0,0.00,0,1,2,"… From trial design perspective, operating characteristics … We then sample the trial participation on the basis of a propensity score … to examine the finite sample properties of the methods …","","https://scholar.google.com/scholar?q=related:gLrpf6VT6DgJ:scholar.google.com/&scioq=%22propensity+score%22+%22finite+sample+properties%22+matching+weighting%7C%22propensity+score%22+%22sample+size%22+%22operating+characteristics%22+observational%7C%22propensity+score+stratification%22+%22small+sample%22+bias+efficiency&hl=en&as_sdt=2007"
