"","Title","Year.gschol","source.gschol","Abstract.gschol","Year.pubmed","source.pubmed","Year.webos","source.webos","Abstract.webos"
"1","'Perceived' competition and performance in Italian secondary schools: new evidence from OECD-PISA 2006",NA,NA,NA,NA,NA,2012,"Web of Science","In this paper, we investigate the effects of competition on the performance of Italian secondary schools as measured by maths achievement scores (PISA 2006 dataset). Competition is measured by an indicator of 'perceived' competition (generated from an answer provided by the schools' principals). The methodology employed is a propensity score matching that is corrected to take into account heteroskedasticity and finite sample bias. The results show a positive effect of competition on school performance. Nevertheless, this effect is quite low (between 3.62% and 4.05% computed at the average score level) and is consistent with previous findings about educational systems in Italy and worldwide. This is relevant for policy-making because competition appears to impact school performance even in a country like Italy where specific pro-competitive policies are quite absent."
"2","[A simulation study for handling two-way treatment switching in rare event scenarios]",NA,NA,NA,2025,"PubMed",NA,NA,NA
"3","[Pancreaticoduodenectomy combined with longitudinal pancreaticojejunostomy in the treatment of chronic pancreatitis: initial experience in 11 cases]",NA,NA,NA,2024,"PubMed",NA,NA,NA
"4","“There is a natural connection between causes and strategies that should be maintained: if one wants to obtain a goal, it is good (in the pre-utility sence of good) …",1979,"Google Scholar","… evaluates the use of propensity score-based methods to esti- … the 95 % confidence interval of γ estimated from the model. … specifically the context of small sample size (ranging from 1000 …",NA,NA,NA,NA,NA
"5","… Postoperative Surgical Site Infection in Open Achilles Tendon Repair: A Prospective Cohort Study With Inverse Probability Treatment Weight Propensity Score …",2023,"Google Scholar","… confidence interval 0.08, 1.90; p = .228). In inverse-probability-treatment-weighted propensity score … 95% confidence interval 0.01, 0.91; p = .033). Inverse-probability-treatment-weighted …",NA,NA,NA,NA,NA
"6","… Super Learner: A robust adaptation of the Super Learner to improve estimation of the average treatment effect in the treated based on propensity score matching",2018,"Google Scholar","… “Small sample size” scenario: similar to scenario B but using a smaller sample size of n = … a Monte Carlo approach. We refer to the latter interval as the empirical confidence interval—of …",NA,NA,NA,NA,NA
"7","… Super Learner: A robust adaptation of theSuper Learnerto improve estimation of the average treatment effect in the treated based on propensity score matching",2018,"Google Scholar","… a Monte Carlo approach. We refer to the latter interval as the empirical confidence interval—of … Our simulation results highlight that the decreased bias was achieved at the expense of …",NA,NA,NA,NA,NA
"8","11th European Stroke Organisation Conference Abstracts–21-23 May 2025, Helsinki, Finland: Late Breaking",2025,"Google Scholar","… Results: Despite the small sample size of six participants, … After propensity score matching (PSM), 80 patients in each … regression (odds ratio [95% confidence interval]), increased 90-day …",NA,NA,NA,NA,NA
"9","2D score-based estimation of heterogeneous treatment effects",2023,"Google Scholar","… [9, 10] achieve great performance in minimizing bias in estimating … on prognostic factors in propensity score matching was first … For propensity score, we apply a logistic regression on the …",NA,NA,NA,NA,NA
"10","31 Common Fallacies in Quantitative Research Methodology",NA,"Google Scholar","",NA,NA,NA,NA,NA
"11","41st Annual Meeting of the Society for Medical Decision Making Portland, Oregon, October 20–23, 2019",2019,"Google Scholar","… PSA) using 10,000 Monte Carlo simulations to understand the … We propensity-score matched unexposed subjects (infants … Methods: We developed a dynamic infection simulation model …",NA,NA,NA,NA,NA
"12","8 Neurologic: Traumatic",2013,"Google Scholar","… Given the small sample size, the confidence interval was 86… In this computer simulation, a reduction in hospital arrival to … characteristics with a propensity score, intracranial pressure …",NA,NA,NA,NA,NA
"13","A Bayesian algorithm for sample size determination for equivalence and non-inferiority test",NA,NA,NA,NA,NA,2010,"Web of Science","Bayesian sample size estimation for equivalence and non-inferiority tests for diagnostic methods is considered. The goal of the study is to test whether a new screening test of interest is equivalent to, or not inferior to the reference test, which may or may not be a gold standard. Sample sizes are chosen by the model performance criteria of average posterior variance, length and coverage probability. In the absence of a gold standard, sample sizes are evaluated by the ratio of marginal probabilities of the two screening tests; whereas in the presence of gold standard, sample sizes are evaluated by the measures of sensitivity and specificity."
"14","A Bayesian approach for analyzing a cluster-randomized trial with adjustment for risk misclassification",NA,NA,NA,NA,NA,2007,"Web of Science","Bayesian hierarchical modelling techniques have some advantages over classic methods for the analysis of cluster-randomized trial. Bayesian approach is also becoming more popular to deal with measurement error and misclassification problems. We propose a Bayesian approach to analyze a cluster-randomized trial with adjusting for misclassification in a binary covariate in the random effect logistic model when a gold standard is not available. This Markov chain Monte Carlo (MCMC) approach uses two imperfect measures of a dichotomous exposure under the assumptions of conditional independence and non-differential misclassification. Both simulated numerical example and real clinical example are given to illustrate the proposed approach. The Bayesian approach has great potential to be used in misclassification problem in generalized linear mixed model (GLMM) since it allow us to fit complex models and identify all the parameters. Our results suggest that Bayesian approach for analyzing cluster-randomized trial and adjusting for misclassification in GLMM is flexible and powerful. (C) 2007 Elsevier B.V. All rights reserved."
"15","A Bayesian approach for correcting exposure misclassification in meta-analysis",NA,NA,NA,NA,NA,2019,"Web of Science","In observational studies, misclassification of exposure is ubiquitous and can substantially bias the estimated association between an outcome and an exposure. Although misclassification in a single observational study has been well studied, few papers have considered it in a meta-analysis. Meta-analyses of observational studies provide important evidence for health policy decisions, especially when large randomized controlled trials are unethical or unavailable. It is imperative to account properly for misclassification in a meta-analysis to obtain valid point and interval estimates. In this paper, we propose a novel Bayesian approach to filling this methodological gap. We simultaneously synthesize two (or more) meta-analyses, with one on the association between a misclassified exposure and an outcome (main studies), and the other on the association between the misclassified exposure and the true exposure (validation studies). We extend the current scope for using external validation data by relaxing the transportability assumption by means of random effects models. Our model accounts for heterogeneity between studies and can be extended to allow different studies to have different exposure measurements. The proposed model is evaluated through simulations and illustrated using real data from a meta-analysis of the effect of cigarette smoking on diabetic peripheral neuropathy."
"16","A Bayesian approach to the g-formula",2018,"Google Scholar","… of sparse data due to small sample size, when the number of … in a general Markov chain Monte Carlo estimation framework. This … , conservative, while confidence interval coverage in the …",NA,NA,NA,NA,NA
"17","A Bayesian propensity score approach for multilevel observational studies",2014,"Google Scholar","… For the case of small sample size, the Bayesian approach … using the Markov-Chain Monte-Carlo (MCMC) sampling technique. … multilevel propensity score approach in the simulation …",NA,NA,NA,NA,NA
"18","A bayesian view on causal inference for observational data",2021,"Google Scholar","… to the mean bias of the point estimates (Bias), Monte Carlo root … We provide simulation studies to discuss the performance of … units for a small sample size, since the true propensity score …",NA,NA,NA,NA,NA
"19","A Bayestan model for measurements on a set of instruments",NA,NA,NA,NA,NA,2007,"Web of Science","A Bayesian model is proposed based on randomizing the systematic errors of the instruments. Conditions are identified under which the randomization reduces the expected bias in estimating a measured quantity."
"20","A bias-adjusted LM test of error cross-section independence",NA,NA,NA,NA,NA,2008,"Web of Science","This paper proposes a bias-adjusted version of Breusch and Pagan (1980) Lagrange multiplier (LM) test statistic of error cross-section independence, in the case of panel models with strictly exogenous regressors and normal errors. The exact mean and variance of the test indicator of the LM test statistic are provided for the purpose of the bias-adjustments. It is shown that the centring of the LM statistic is correct for fixed T and N. Importantly, the proposed bias-adjusted LM test is consistent even when the Pesaran's (2004) CD test is inconsistent. Also an alternative bias-adjusted LM test, which is consistent under local error cross-section dependence of any fixed order p, is proposed. The finite sample behaviour of the proposed tests is investigated and compared to that of the LM and CD tests. It is shown that the bias-adjusted LM tests successfully control the size, maintaining satisfactory power in panel with exogenous regressors and normal errors. However, it is also shown that the bias-adjusted LM test is not as robust as the CD test to non-normal errors and/or in the presence of weakly exogenous regressors."
"21","A causal inference approach to network meta-analysis",2016,"Google Scholar","… called the generalized propensity score [26]. Despite the small sample size in standard network … throughout, the smallest standard errors, and near optimal confidence interval coverage. …",NA,NA,NA,NA,NA
"22","A causal inference framework for cancer cluster investigations using publicly available data",2020,"Google Scholar","… cSIR's 95% confidence interval has a stable approximately … In practice, the propensity score is unknown and must be … In some contexts, small sample size of the matched data and …",NA,NA,NA,NA,NA
