PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"11391697","Methods for testing equality of means of health care costs in a paired design study","Zhou XH, Li C, Gao S, Tierney WM.","Stat Med. 2001 Jun 15;20(11):1703-20. doi: 10.1002/sim.780.","Zhou XH","Stat Med","2001","2001/06/08","","","10.1002/sim.780"
"12111903","Using inverse weighting and predictive inference to estimate the effects of time-varying treatments on the discrete-time hazard","Dawson R, Lavori PW.","Stat Med. 2002 Jun 30;21(12):1641-61; discussion 1663-87. doi: 10.1002/sim.1111.","Dawson R","Stat Med","2002","2002/07/12","","","10.1002/sim.1111"
"17219754","A note on sample size calculation based on propensity analysis in nonrandomized trials","Jung SH, Chow SC, Chi EM.","J Biopharm Stat. 2007;17(1):35-41; discussion 43. doi: 10.1080/10543400601044790.","Jung SH","J Biopharm Stat","2007","2007/01/16","","","10.1080/10543400601044790"
"19012316","Bias in a binary risk behaviour model subject to inconsistent reports and dropout in a South African high school cohort study","Chikobvu P, Lombard CJ, Flisher AJ, King G, Townsend L, Muller M.","Stat Med. 2009 Feb 1;28(3):494-509. doi: 10.1002/sim.3482.","Chikobvu P","Stat Med","2009","2008/11/18","","","10.1002/sim.3482"
"19053998","Extensions of the penalized spline of propensity prediction method of imputation","Zhang G, Little R.","Biometrics. 2009 Sep;65(3):911-8. doi: 10.1111/j.1541-0420.2008.01155.x. Epub 2008 Nov 13.","Zhang G","Biometrics","2009","2008/12/05","","","10.1111/j.1541-0420.2008.01155.x"
"19432773","Adjustment for missingness using auxiliary information in semiparametric regression","Zeng D, Chen Q.","Biometrics. 2010 Mar;66(1):115-22. doi: 10.1111/j.1541-0420.2009.01231.x. Epub 2009 May 7.","Zeng D","Biometrics","2010","2009/05/13","PMC3148802","NIHMS306451","10.1111/j.1541-0420.2009.01231.x"
"19795365","An application of propensity score methods to estimate the treatment effect of corticosteroids in patients with severe cutaneous adverse reactions","Sekula P, Caputo A, Dunant A, Roujeau JC, Mockenhaupt M, Sidoroff A, Schumacher M.","Pharmacoepidemiol Drug Saf. 2010 Jan;19(1):10-8. doi: 10.1002/pds.1863.","Sekula P","Pharmacoepidemiol Drug Saf","2010","2009/10/02","","","10.1002/pds.1863"
"19912596","Use of stabilized inverse propensity scores as weights to directly estimate relative risk and its confidence intervals","Xu S, Ross C, Raebel MA, Shetterly S, Blanchette C, Smith D.","Value Health. 2010 Mar-Apr;13(2):273-7. doi: 10.1111/j.1524-4733.2009.00671.x. Epub 2009 Nov 12.","Xu S","Value Health","2010","2009/11/17","PMC4351790","NIHMS475004","10.1111/j.1524-4733.2009.00671.x"
"21170907","Confounder-adjusted estimates of the risk difference using propensity score-based weighting","Ukoumunne OC, Williamson E, Forbes AB, Gulliford MC, Carlin JB.","Stat Med. 2010 Dec 30;29(30):3126-36. doi: 10.1002/sim.3935.","Ukoumunne OC","Stat Med","2010","2010/12/21","","","10.1002/sim.3935"
"21805529","Measuring balance and model selection in propensity score methods","Belitser SV, Martens EP, Pestman WR, Groenwold RH, de Boer A, Klungel OH.","Pharmacoepidemiol Drug Saf. 2011 Nov;20(11):1115-29. doi: 10.1002/pds.2188. Epub 2011 Jul 29.","Belitser SV","Pharmacoepidemiol Drug Saf","2011","2011/08/02","","","10.1002/pds.2188"
"22139832","Estimating the agreement and diagnostic accuracy of two diagnostic tests when one test is conducted on only a subsample of specimens","Katki HA, Li Y, Edelstein DW, Castle PE.","Stat Med. 2012 Feb 28;31(5):436-48. doi: 10.1002/sim.4422. Epub 2011 Dec 4.","Katki HA","Stat Med","2012","2011/12/06","PMC3809897","NIHMS519364","10.1002/sim.4422"
"22359267","Model misspecification and robustness in causal inference: comparing matching with doubly robust estimation","Waernbaum I.","Stat Med. 2012 Jul 10;31(15):1572-81. doi: 10.1002/sim.4496. Epub 2012 Feb 23.","Waernbaum I","Stat Med","2012","2012/02/24","","","10.1002/sim.4496"
"22646911","Evaluation of the propensity score methods for estimating marginal odds ratios in case of small sample size","Pirracchio R, Resche-Rigon M, Chevret S.","BMC Med Res Methodol. 2012 May 30;12:70. doi: 10.1186/1471-2288-12-70.","Pirracchio R","BMC Med Res Methodol","2012","2012/06/01","PMC3511219","","10.1186/1471-2288-12-70"
"22944721","Evaluating treatment effectiveness in patient subgroups: a comparison of propensity score methods with an automated matching approach","Radice R, Ramsahai R, Grieve R, Kreif N, Sadique Z, Sekhon JS.","Int J Biostat. 2012 Aug 7;8(1):25. doi: 10.1515/1557-4679.1382.","Radice R","Int J Biostat","2012","2012/09/05","","","10.1515/1557-4679.1382"
"22956891","Bias and variance trade-offs when combining propensity score weighting and regression: with an application to HIV status and homeless men","Golinelli D, Ridgeway G, Rhoades H, Tucker J, Wenzel S.","Health Serv Outcomes Res Methodol. 2012 Jun;12(2-3):104-118. doi: 10.1007/s10742-012-0090-1.","Golinelli D","Health Serv Outcomes Res Methodol","2012","2012/09/08","PMC3433039","NIHMS382984","10.1007/s10742-012-0090-1"
"23800533","Within-center matching performed better when using propensity score matching to analyze multicenter survival data: empirical and Monte Carlo studies","Gayat E, Thabut G, Christie JD, Mebazaa A, Mary JY, Porcher R.","J Clin Epidemiol. 2013 Sep;66(9):1029-37. doi: 10.1016/j.jclinepi.2013.03.018. Epub 2013 Jun 22.","Gayat E","J Clin Epidemiol","2013","2013/06/27","","","10.1016/j.jclinepi.2013.03.018"
"23857890","Genome-wide association analysis accounting for environmental factors through propensity-score matching: application to stressful live events in major depressive disorder","Power RA, Cohen-Woods S, Ng MY, Butler AW, Craddock N, Korszun A, Jones L, Jones I, Gill M, Rice JP, Maier W, Zobel A, Mors O, Placentino A, Rietschel M, Aitchison KJ, Tozzi F, Muglia P, Breen G, Farmer AE, McGuffin P, Lewis CM, Uher R.","Am J Med Genet B Neuropsychiatr Genet. 2013 Sep;162B(6):521-9. doi: 10.1002/ajmg.b.32180. Epub 2013 Jul 15.","Power RA","Am J Med Genet B Neuropsychiatr Genet","2013","2013/07/17","","","10.1002/ajmg.b.32180"
"23910956","Using balance statistics to determine the optimal number of controls in matching studies","Linden A, Samuels SJ.","J Eval Clin Pract. 2013 Oct;19(5):968-75. doi: 10.1111/jep.12072. Epub 2013 Aug 3.","Linden A","J Eval Clin Pract","2013","2013/08/06","","","10.1111/jep.12072"
"24403869","Generalized Redistribute-to-the-Right Algorithm: Application to the Analysis of Censored Cost Data","Chen S, Zhao H.","J Stat Theory Pract. 2013 Apr 1;7(2):10.1080/15598608.2013.771556. doi: 10.1080/15598608.2013.771556.","Chen S","J Stat Theory Pract","2013","2014/01/10","PMC3882135","NIHMS534713","10.1080/15598608.2013.771556"
